product_name,link,product_img
Authentic Vandyvape JACKAROO Mini Kit - Stripy Black,https://www.cigabuy.com/authentic-vandyvape-jackaroo-mini-kit-stripy-black-p-21776.html,https://s3.amazonaws.com/cbimg.aa-img.com/small_images/70/52/587052_132715078859178700_3.jpg
Authentic Wotofo MDura Mini Kit - Halftone Black,https://www.cigabuy.com/authentic-wotofo-mdura-mini-kit-halftone-black-p-21623.html,https://s3.amazonaws.com/cbimg.aa-img.com/small_images/69/49/586949_132701223271385187_3.jpg
Authentic Wotofo MDura Mini Kit - Halftone Blue,https://www.cigabuy.com/authentic-wotofo-mdura-mini-kit-halftone-blue-p-21624.html,https://s3.amazonaws.com/cbimg.aa-img.com/small_images/69/50/586950_132701223641208438_3.jpg
Authentic Wotofo MDura Mini Kit - Halftone Red,https://www.cigabuy.com/authentic-wotofo-mdura-mini-kit-halftone-red-p-21625.html,https://s3.amazonaws.com/cbimg.aa-img.com/small_images/69/51/586951_132701223946946718_3.jpg
Authentic Wotofo nexMINI Subtank - Black,https://www.cigabuy.com/authentic-wotofo-nexmini-subtank-black-p-21614.html,https://s3.amazonaws.com/cbimg.aa-img.com/small_images/69/33/586933_132700312689521341_3.jpg
Authentic Geekvape G18 Starter Pen Kit - Blue,https://www.cigabuy.com/authentic-geekvape-g18-starter-pen-kit-blue-p-21770.html,https://s3.amazonaws.com/cbimg.aa-img.com/small_images/70/47/587047_132714989297601445_3.jpg
Authentic Wotofo MDura Kit - King Kong Orange,https://www.cigabuy.com/authentic-wotofo-mdura-kit-king-kong-orange-p-21574.html,https://s3.amazonaws.com/cbimg.aa-img.com/small_images/69/28/586928_132697739625501098_3.jpg
Authentic Uwell Whirl T1 Pod Mod Kit - Grey,https://www.cigabuy.com/authentic-uwell-whirl-t1-pod-mod-kit-grey-p-21569.html,https://s3.amazonaws.com/cbimg.aa-img.com/small_images/69/21/586921_132696902922894247_3.jpg
Authentic Uwell Aeglos P1 Kit - Reddish Brown,https://www.cigabuy.com/authentic-uwell-aeglos-p1-kit-reddish-brown-p-21529.html,https://s3.amazonaws.com/cbimg.aa-img.com/small_images/68/74/586874_132689927813652666_3.jpg
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
